message_id,message,is_spam
M10110,FYI: campus event in the lab on Tue at 10am.,0
M10419,"Kabir, can you share your notes from AI class?",0
M10565,Limited offer: Apple gift card worth $200. Click deals.example.com to redeem,1
M10077,Can you review my resume before I apply?,0
M10181,Don't forget: quiz in ML tomorrow. Let's revise tonight.,0
M10284,Can you review my resume before I apply?,0
M10010,Project update: I pushed the latest changes. Please pull and test.,0
M10469,URGENT: You have won $1000! Claim now at deals.example.com,1
M10078,I left my charger in the library. Have you seen it?,0
M10349,Team meeting for Girls Who Code on Thu at 4pm in the cafeteria.,0
M10055,FYI: campus event in the classroom on Wed at 10am.,0
M10118,Are you coming to the gym at 2pm today?,0
M10109,Please confirm attendance for the workshop on Fri.,0
M10588,FREE voucher $1000 waiting. Redeem here: secure-login.example.com,1
M10369,"Hey Kabir, are we still meeting at the lab at 4pm?",0
